2020-09-08 13:13:47.473745
6210545637 6110545481 {'+': 284, '-': 489, ' ': 40, '?': 70} 0.04
6210545637 6210545441 {'+': 290, '-': 453, ' ': 76, '?': 101} 0.1
6210545637 6210545611 {'+': 438, '-': 453, ' ': 76, '?': 103} 0.08
6210545637 6210545700 {'+': 332, '-': 430, ' ': 99, '?': 121} 0.09
6210545637 6210545955 {'+': 206, '-': 482, ' ': 47, '?': 100} 0.1
6210545637 6210545505 {'+': 312, '-': 473, ' ': 56, '?': 107} 0.04
6210545637 6210545548 {'+': 361, '-': 506, ' ': 23, '?': 71} 0.07
6210545637 6210546714 {'+': 325, '-': 463, ' ': 66, '?': 168} 0.1
6210545637 6210545602 {'+': 326, '-': 485, ' ': 44, '?': 103} 0.11
6210545637 6210546048 {'+': 244, '-': 462, ' ': 67, '?': 125} 0.13
6210545637 6210545513 {'+': 263, '-': 445, ' ': 84, '?': 122} 0.1
6210545637 6010546621 {'+': 239, '-': 441, ' ': 88, '?': 116} 0.05
6210545637 6210545459 {'+': 313, '-': 472, ' ': 57, '?': 62} 0.02
6210545637 6210545467 {'+': 337, '-': 482, ' ': 47, '?': 80} 0.02
6210545637 6210545475 {'+': 383, '-': 449, ' ': 80, '?': 62} 0.13
6210545637 6210545564 {'+': 390, '-': 457, ' ': 72, '?': 124} 0.02
6210545637 6210546013 {'+': 289, '-': 457, ' ': 72, '?': 156} 0.03
6210545637 6210546412 {'+': 272, '-': 486, ' ': 43, '?': 117} 0.06
6210545637 6210546439 {'+': 240, '-': 464, ' ': 65, '?': 101} 0.04
6210545637 6210546447 {'+': 281, '-': 452, ' ': 77, '?': 139} 0.08
6210545637 6210546455 {'+': 316, '-': 484, ' ': 45, '?': 146} 0.14
6210545637 6210546650 {'+': 328, '-': 467, ' ': 62, '?': 102} 0.03
6210545637 6210546706 {'+': 271, '-': 440, ' ': 89, '?': 130} 0.17
6210545637 6210545483 {'+': 381, '-': 473, ' ': 56, '?': 43} 0.14
6210545637 6210545491 {'+': 327, '-': 461, ' ': 68, '?': 144} 0.13
6210545637 6210546668 {'+': 269, '-': 458, ' ': 71, '?': 147} 0.07
6210545637 6210546374 {'+': 298, '-': 451, ' ': 78, '?': 117} 0.08
6210545637 6210545432 {'+': 244, '-': 440, ' ': 89, '?': 114} 0.16
6210545637 6110545996 {'+': 318, '-': 457, ' ': 72, '?': 124} 0.05
6210545637 6210545424 {'+': 329, '-': 500, ' ': 29, '?': 99} 0.05
6210545637 6210545556 {'+': 294, '-': 466, ' ': 63, '?': 107} 0.14
6210545637 6210546404 {'+': 300, '-': 429, ' ': 100, '?': 123} 0.07
6210545637 6210546421 {'+': 348, '-': 444, ' ': 85, '?': 146} 0.13
6210545637 6210546692 {'+': 290, '-': 436, ' ': 93, '?': 161} 0.11
6210545637 6110545601 {'+': 279, '-': 481, ' ': 48, '?': 84} 0.08
6210545637 6210545416 {'+': 252, '-': 442, ' ': 87, '?': 107} 0.16
6210545637 6210545521 {'+': 272, '-': 481, ' ': 48, '?': 106} 0.08
6210545637 6210545530 {'+': 443, '-': 477, ' ': 52, '?': 94} 0.03
6210545637 6210545572 {'+': 280, '-': 446, ' ': 83, '?': 141} 0.14
6210545637 6210545963 {'+': 273, '-': 456, ' ': 73, '?': 136} 0.18
6210545637 6210546021 {'+': 286, '-': 472, ' ': 57, '?': 73} 0.08
6210545637 6210546391 {'+': 273, '-': 479, ' ': 50, '?': 111} 0.1
6210545637 6210546676 {'+': 321, '-': 399, ' ': 130, '?': 131} 0.12
6210545637 6010545749 {'+': 278, '-': 448, ' ': 81, '?': 119} 0.08
6210545734 6210545971 {'+': 352, '-': 363, ' ': 32, '?': 142} 0.02
6210545734 6210545998 {'+': 325, '-': 336, ' ': 59, '?': 147} 0.04
6210545734 6210546030 {'+': 410, '-': 389, ' ': 6, '?': 2} 0.05
6210545734 6210546684 {'+': 293, '-': 335, ' ': 60, '?': 134} 0.04
6210545734 6210545599 {'+': 286, '-': 342, ' ': 53, '?': 142} 0.04
